Date,Id,Name,DeathNumber,HospitalizationNumber,PositiveNumber,RecoveryNumber,SevereNumber,TestNumber,NationalTestNumber,QuarantineTestNumber,CareCenterTestNumber,CivilCenterTestNumber,CollegeTestNumber,MedicalTestNumber
2021/7/21,523,,15092,29973,4933,802980,0,69363,0,0,5103,54843,4482,24285
2021/7/22,524,,15101,33006,5387,805185,0,37605,0,0,4442,30611,1283,10609
2021/7/23,525,,15110,35017,4204,807630,0,50137,0,0,3554,21386,1327,10052
2021/7/24,526,,15118,35436,3576,810765,0,32099,0,0,4138,61896,1996,17132
2021/7/25,527,,15123,37223,5009,813614,0,17654,0,18,3093,15229,1321,10600
2021/7/26,528,,15131,38793,4661,816865,0,95137,4,20,4384,34036,6500,36925
2021/7/27,529,,15145,42267,7619,820615,0,92345,0,3,5984,51255,5734,29290
2020/2/4,530,,0,15,2,1,0,0,0,0,0,0,0,0
2020/2/5,531,,0,16,2,4,0,4,0,0,0,0,0,0
2020/2/6,532,,0,12,0,4,0,19,0,0,0,0,0,0
2020/2/7,533,,0,12,0,6,0,9,0,0,0,0,0,0
2020/2/8,534,,0,7,0,9,0,4,0,0,0,0,0,0
2020/2/9,535,,0,7,0,9,0,10,0,0,0,0,0,0
2020/2/10,536,,0,7,0,9,0,12,0,0,0,0,0,0
2020/2/11,537,,0,6,0,10,0,4,0,0,0,0,0,0
2020/2/12,538,,0,6,1,11,0,10,0,0,0,0,0,0
2020/2/13,539,,0,6,4,11,0,16,0,0,0,0,0,0
2020/1/16,540,,0,0,1,0,0,0,0,0,0,0,0,0
2020/1/17,541,,0,0,0,0,0,0,0,0,0,0,0,0
2020/1/18,542,,0,0,0,0,0,0,0,0,0,0,0,0
2020/1/19,543,,0,0,0,0,0,0,0,0,0,0,0,0
2020/1/20,544,,0,0,0,0,0,0,0,0,0,0,0,0
2020/1/21,545,,0,0,0,0,0,0,0,0,0,0,0,0
2020/1/22,546,,0,0,0,0,0,0,0,0,0,0,0,0
2020/1/23,547,,0,0,0,0,0,0,0,0,0,0,0,0
2020/1/24,548,,0,0,1,0,0,0,0,0,0,0,0,0
2020/1/25,549,,0,0,1,0,0,0,0,0,0,0,0,0
2020/1/26,550,,0,0,1,0,0,0,0,0,0,0,0,0
2020/1/27,551,,0,0,0,0,0,0,0,0,0,0,0,0
2020/1/28,552,,0,0,3,0,0,0,0,0,0,0,0,0
2020/1/29,553,,0,0,1,1,0,0,0,0,0,0,0,0
2020/1/30,554,,0,0,3,1,0,0,0,0,0,0,0,0
2020/1/31,555,,0,0,1,1,0,0,0,0,0,0,0,0
2020/2/1,556,,0,0,0,1,0,0,0,0,0,0,0,0
2020/2/2,557,,0,0,0,1,0,0,0,0,0,0,0,0
2020/2/3,558,,0,0,0,1,0,0,0,0,0,0,0,0
2021/7/28,559,,0,0,0,0,0,86528,0,0,6141,61027,5274,27021
2021/7/29,560,,0,0,0,0,0,88769,0,0,7009,63796,4990,27344
2021/7/30,561,,0,0,0,0,0,88920,0,0,7666,62893,5011,28937
2021/7/31,562,,0,0,0,0,0,87700,0,0,7247,61830,1888,17951
2021/8/1,563,,0,0,0,0,0,36604,0,0,4433,19339,1201,10240
2021/8/2,564,,0,0,0,0,0,105130,0,0,5914,53210,6558,38228
2021/8/3,565,,0,0,0,0,0,83159,0,0,8982,59971,5814,32581
2021/8/4,566,,0,0,0,0,0,100583,0,0,9744,68279,4805,32411
2021/8/5,567,,0,0,0,0,0,114844,0,0,8864,68099,4892,31023
2021/8/6,568,,0,0,0,0,0,112653,0,0,10095,73871,4601,31944
2021/8/7,569,,0,0,0,0,0,71501,0,0,8850,69594,2271,21163
2021/8/8,570,,0,0,0,0,0,41841,0,0,6559,25793,789,11810
2021/8/9,571,,0,0,0,0,0,28421,0,0,7746,19378,1813,15327
2021/8/10,572,,0,0,0,0,0,126671,0,0,6857,61022,6990,43869
2021/8/11,573,,0,0,0,0,0,128856,0,0,9829,76610,6321,36185
2021/8/12,574,,0,0,0,0,0,110733,0,19,10630,81011,5691,34307
2021/8/13,575,,0,0,0,0,0,134540,0,0,10138,76286,4965,32696
2021/8/14,576,,0,0,0,0,0,81455,0,0,9137,65721,2224,19915
2021/8/15,577,,0,0,0,0,0,62842,0,23,7323,22288,1454,12917
2021/8/16,578,,0,0,0,0,0,104174,0,0,8977,60033,7172,44458
2021/8/17,579,,0,0,0,0,0,118072,0,0,11355,78505,6818,40203
2021/8/18,580,,0,0,0,0,0,131491,0,0,11572,92726,6442,39643
2021/8/19,581,,0,0,0,0,0,232366,1,0,11124,95106,5572,39648
2021/8/20,582,,0,0,0,0,0,29228,0,0,12408,102312,5901,41558
2021/8/21,583,,0,0,0,0,0,113293,0,0,11468,91163,2577,24170
2021/8/22,584,,0,0,0,0,0,55312,0,0,10363,32396,1448,13039
2021/8/23,585,,0,0,0,0,0,132921,0,0,10681,70453,6990,50209
2021/8/24,586,,0,0,0,0,0,161737,0,1,13132,90215,6577,41186
2021/8/25,587,,0,0,0,0,0,144846,0,0,12674,80251,5792,39504
2021/8/26,588,,0,0,0,0,0,145404,0,22,11729,84335,5970,38541
2021/8/27,589,,0,0,0,0,0,174004,0,0,12315,84646,5705,42904
2021/8/28,590,,0,0,0,0,0,96889,0,0,9987,72478,2200,22593
2021/8/29,591,,0,0,0,0,0,66549,0,0,7784,22125,1335,11475
2021/8/30,592,,0,0,0,0,0,156779,0,22,7491,54428,6785,45354
2021/8/31,593,,0,0,0,0,0,115429,0,0,9278,57536,5827,33940
2021/9/1,594,,0,0,0,0,0,149209,0,0,9157,34446,5019,26615
2021/9/2,595,,0,0,0,0,0,121059,0,0,0,0,0,0
